목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
12월의왈츠,127.246099,36.358756,공주시,반포면,여행/레저,숙박,펜션,18
24시전주명가콩나물국밥/공주점,127.13345324533223,36.46930582803515,공주시,신관동,생활편의,음식점,한식,42
505펜션앤키즈캠핑장,127.02012821520432,36.50125213368652,공주시,사곡면,여행/레저,레저/스포츠,캠프장,105
60계치킨/충남공주신관점,127.136590314593,36.472922708262,공주시,신관동,생활편의,음식점,치킨,3
BBQ/공주신월점,127.147894856217,36.4737560125455,공주시,신관동,생활편의,음식점,치킨,6
BBQ/공주신월점,127.147894856217,36.4737560125455,공주시,월송동,생활편의,음식점,치킨,3
BHC/공주대점,127.1371735925166,36.47331155619646,공주시,신관동,생활편의,음식점,치킨,9
BHC/옥룡점,127.1334796434089,36.45467477153064,공주시,옥룡동,생활편의,음식점,치킨,3
CJ제일제당/공주공장,127.14231292851,36.3717120574909,공주시,계룡면,기업/단체,업종별기업,음식료업,4
CU/공주검상공단점,127.07511216362605,36.43035842393694,공주시,금학동,쇼핑,대형유통점,편의점,3
CU/공주금성점,127.121258412058,36.4655623474279,공주시,웅진동,쇼핑,대형유통점,편의점,13
CU/공주대학로점,127.135673755356,36.4700341435328,공주시,신관동,쇼핑,대형유통점,편의점,3
CU/공주미도점,127.13534063694028,36.44928650798882,공주시,옥룡동,쇼핑,대형유통점,편의점,3
CU/공주차령휴게소점,127.123145548372,36.641653360889,공주시,정안면,쇼핑,대형유통점,편의점,3
CU/공주청룡점,127.14020731724588,36.49994692873693,공주시,의당면,쇼핑,대형유통점,편의점,4
CU/공주탄천산업단지점,127.06340224028048,36.30138060259168,공주시,탄천면,쇼핑,대형유통점,편의점,6
G7무인텔,127.251136629687,36.36718543044,공주시,반포면,여행/레저,숙박,모텔/여관,6
GE삼성전기조명,127.132590698502,36.4698119286807,공주시,신관동,쇼핑,전기/가정용품,조명기구,3
GS25/검상공단,127.07509616753656,36.43034387460129,공주시,검상동,쇼핑,대형유통점,편의점,3
GS25/공주교대점,127.12036980044,36.4433148796994,공주시,금학동,쇼핑,대형유통점,편의점,3
GS25/공주금강점,127.1297837641145,36.4734002290203,공주시,신관동,쇼핑,대형유통점,편의점,3
GS25/공주우남점,127.139367790898,36.4789775892989,공주시,월송동,쇼핑,대형유통점,편의점,3
GS25/공주우성점,127.05078639756088,36.470239873074426,공주시,우성면,쇼핑,대형유통점,편의점,12
GS25/공주의당점,127.147033668425,36.490865166754,공주시,의당면,쇼핑,대형유통점,편의점,11
GS25/공주장승마을점,127.021544255583,36.557717915449,공주시,사곡면,쇼핑,대형유통점,편의점,3
GS25/공주정안점,127.12181260784,36.611434584761,공주시,정안면,쇼핑,대형유통점,편의점,6
GS25/신공주전막점,127.12698007552432,36.47108952801792,공주시,신관동,쇼핑,대형유통점,편의점,3
GS25/월송2단지점,127.155921876518,36.4785332923063,공주시,월송동,쇼핑,대형유통점,편의점,15
GS더프레시/공주신관점,127.14461736103752,36.47478365394902,공주시,신관동,쇼핑,슈퍼/마트,대형슈퍼,63
GS더프레시/공주점,127.13417401836,36.455535788487,공주시,옥룡동,쇼핑,슈퍼/마트,대형슈퍼,170
JJ오토캠핑장,126.96521647937055,36.60282441534821,공주시,유구읍,여행/레저,레저/스포츠,캠프장,120
KG케미칼/남공주대리점,127.122841628212,36.462895994122,공주시,웅진동,쇼핑,쇼핑기타,농업용품관련,3
KT/공주지점,127.14986688221416,36.476061316656335,공주시,월송동,기업/단체,주요그룹,KT,42
LG전자베스트샵/공주점,127.13328297171762,36.47110153996519,공주시,신관동,쇼핑,가전,LG,8
LG전자서비스센터/공주점,127.13319990360748,36.47110713241847,공주시,신관동,쇼핑,가전,LG,9
OCI스페셜티/공주공장,127.060043107885,36.2983310533736,공주시,탄천면,기업/단체,업종별기업,제조업,114
OK무인텔,127.132201854903,36.4686176182057,공주시,신관동,여행/레저,숙박,모텔/여관,17
PROVIDENCE,127.251858844365,36.360880597064,공주시,반포면,생활편의,카페,카페기타,59
SK렌터카/공주대지점,127.1365903429,36.469756402783,공주시,신관동,교통편의,자동차시설,렌트카,3
SK텔레콤/공주종동대리점 신관점,127.14250757647432,36.474176734457046,공주시,신관동,쇼핑,정보통신기기,SK텔레콤,3
SUBWAY/공주신관점,127.141367663545,36.4733115806733,공주시,신관동,생활편의,음식점,패스트푸드,24
SUBWAY/공주신관점,127.14136766354504,36.4733115806733,공주시,신관동,생활편의,음식점,패스트푸드,49
THEJAJA,127.25271981686,36.367796481274,공주시,반포면,여행/레저,숙박,모텔/여관,3
